domain_name,label,language,malicious_tags,all_tags,word_count,domain_length,posts,profile,visit,skip,report,blog,content,search,powered,well,use,link,contact,business,email,everything,new,home,page,create,website,services,free,data,facebook,account,designed,things,outdated,insecure,policy,service,support,help,privacy,learn,information,management,time,health,events,view,news,best,find,online,read,standard,school
be.web.origin.globalsign.com,0,en,16,1201,1968,28,0,1,0,0,0,2,0,1,0,0,5,0,11,3,5,2,4,0,0,0,4,10,1,3,0,3,0,1,0,0,2,6,19,6,2,28,2,11,2,0,2,7,2,0,1,8,3,0,0
www.aha.io,0,en,3,1010,1045,10,0,0,0,0,1,3,0,1,0,0,3,1,1,2,1,2,2,0,0,2,0,1,12,0,0,0,0,0,0,0,1,1,4,1,1,4,3,7,2,0,2,1,0,2,2,0,14,0,1
menuvative.com,0,en,7,334,420,14,0,0,0,1,0,0,2,3,1,0,2,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,2,0,2,0,0,1,0,0
collinsbookings.com,0,en,8,1286,3585,19,0,1,1,0,2,3,0,2,0,3,3,1,7,5,2,0,8,0,0,1,6,2,0,4,0,0,0,0,0,0,2,4,4,5,1,1,4,32,8,1,5,14,3,6,4,13,25,0,0
securetree.com,0,en,3,53,153,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0
intervalworld.com,0,en,10,298,342,17,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,0,0,0,0,1,0,0,0,1,0,0,0
jabra.hk,0,en,7,1161,1301,8,0,0,0,0,4,2,1,4,0,0,1,0,12,4,3,1,4,3,0,0,0,3,2,1,0,0,1,0,0,0,3,3,9,2,1,25,2,0,1,0,1,0,2,1,1,4,1,0,0
www.olay.com,0,en,14,1346,1568,12,0,0,0,1,0,1,1,0,0,0,1,0,0,0,3,0,8,0,0,2,0,0,10,4,0,1,0,1,0,0,4,0,1,7,7,7,2,0,1,2,0,0,0,6,5,0,1,0,0
intercontinentalexchange.com,0,en,4,554,396,28,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,1,0,3,0,9,0,0,0,1,0,0,0,0,2,3,1,3,1,0,0,0,1,0,0,0,0,0,7,0,0
blog.jetbrains.com,0,en,13,553,801,18,0,0,0,1,0,4,1,1,0,0,2,0,0,0,0,0,7,0,0,0,1,1,2,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,3,1,0,2,0,0
rumormillnews.com,0,en,3,1522,2905,17,0,0,0,0,4,0,0,1,0,1,2,2,1,0,0,1,6,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,11,1,0,1,1,0,0
secure.connectyourcare.com,0,en,7,90,340,26,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,0,0,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
cccis.my.salesforce.com,0,en,48,111,77,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
euc-word-edit.officeapps.live.com,0,en,3,878,1261,33,1,1,0,1,0,1,2,0,0,0,2,0,1,12,0,0,3,8,0,7,0,3,12,7,0,8,0,0,0,0,0,0,3,2,7,3,0,0,0,1,0,1,1,1,2,3,0,0,4
crain.com,0,en,29,398,343,9,0,0,0,1,1,0,1,0,0,0,0,0,1,10,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,2,4,0,0,0,0,0,13,0,0,0,3,0,0
songselect.ccli.com,0,en,8,71,55,19,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thomson.com,0,en,8,1949,2001,11,0,0,2,1,12,0,19,5,1,1,8,0,8,5,0,0,9,0,0,1,0,7,1,6,1,4,0,0,0,0,0,3,9,11,0,6,4,13,5,2,2,2,6,1,4,1,6,0,0
statmuse.com,0,en,7,5718,1097,12,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0
mx1.pacifier.net,0,en,0,64,511,16,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
toonimo.com,0,en,4,1908,2379,11,0,0,0,0,0,3,7,2,0,0,7,0,3,2,1,0,3,0,5,4,1,6,2,4,0,0,2,0,0,0,1,4,13,2,1,0,0,4,10,0,0,0,0,2,0,4,0,0,0
americanbriefing.com,0,en,21,526,1107,20,0,0,0,0,1,0,1,0,0,0,3,0,0,1,12,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,5,0,2,0,0,3,0,0,17,0,1,0,10,0,0
itsasap.com,0,en,27,1134,1282,11,0,0,0,0,0,1,0,0,0,0,0,0,5,24,0,1,0,1,0,0,0,7,3,5,0,0,0,0,0,0,1,3,12,2,1,9,1,4,5,0,3,0,0,1,0,0,1,0,0
michelle.ns.cloudflare.com,0,en,0,1068,820,26,0,0,0,1,1,2,1,4,0,0,3,0,8,0,2,0,0,0,0,0,3,7,1,1,0,1,0,0,0,0,1,1,6,5,1,8,0,0,2,1,0,1,1,0,1,0,3,0,0
